epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,220.553,0.99182,0.71577,0.00835,0.91586,0.33405,0.42498,0.24727,1.92264,1.60858,0.00866,0.00795954,0.00795954,0.00795954
92,222.924,0.88202,0.58562,0.00702,0.79297,0.33885,0.41999,0.25331,1.95959,1.5719,0.00856,0.00791744,0.00791744,0.00791744
93,225.222,0.87546,0.56905,0.00759,0.60848,0.32414,0.3729,0.22895,1.96653,1.57061,0.00827,0.00787503,0.00787503,0.00787503
94,227.562,0.97558,0.76953,0.00916,0.42721,0.3193,0.3264,0.20215,2.00068,1.84584,0.00845,0.00783231,0.00783231,0.00783231
95,229.863,0.93287,0.69875,0.00857,0.65297,0.33171,0.37701,0.21583,1.99047,1.9347,0.00862,0.00778929,0.00778929,0.00778929
96,232.182,0.92546,0.70378,0.00825,0.71641,0.35153,0.36481,0.21975,1.99319,1.99377,0.0088,0.00774596,0.00774596,0.00774596
97,234.653,0.81705,0.62254,0.00625,0.75527,0.35153,0.40477,0.26197,2.00491,1.82846,0.00856,0.00770234,0.00770234,0.00770234
98,236.984,0.89755,0.62933,0.00724,0.77082,0.37123,0.40896,0.22532,1.98688,1.67016,0.00872,0.00765843,0.00765843,0.00765843
99,239.267,0.84909,0.62532,0.0067,0.67224,0.33262,0.30161,0.20499,2.01012,1.62419,0.00903,0.00761423,0.00761423,0.00761423
100,241.56,0.86643,0.59884,0.00703,0.46884,0.32703,0.24807,0.17349,2.09678,1.69768,0.00994,0.00756976,0.00756976,0.00756976
101,243.86,0.86653,0.62193,0.00744,0.62647,0.34646,0.28801,0.17494,2.07132,1.69126,0.01032,0.007525,0.007525,0.007525
102,246.305,0.83034,0.54301,0.00681,0.77594,0.37387,0.41473,0.2433,1.94082,1.68314,0.0084,0.00747997,0.00747997,0.00747997
103,248.61,0.81735,0.56621,0.0064,0.7112,0.33547,0.36458,0.27179,1.90186,1.87932,0.00775,0.00743468,0.00743468,0.00743468
104,250.949,0.90874,0.64838,0.00759,0.57935,0.38494,0.35228,0.25545,1.92973,1.83286,0.00818,0.00738913,0.00738913,0.00738913
105,253.349,0.92711,0.62526,0.00759,0.74074,0.34873,0.34533,0.21714,2.12928,1.56092,0.01009,0.00734332,0.00734332,0.00734332
106,255.781,0.91605,0.68483,0.00776,0.77011,0.31653,0.33853,0.22689,2.1012,1.31128,0.01067,0.00729725,0.00729725,0.00729725
107,258.11,0.80344,0.50268,0.00649,0.77966,0.38803,0.42228,0.24709,2.06129,1.25544,0.00999,0.00725094,0.00725094,0.00725094
108,260.677,0.84672,0.57901,0.00731,0.78107,0.39622,0.4408,0.26895,1.97831,1.22904,0.00916,0.00720439,0.00720439,0.00720439
109,263.091,0.88037,0.57279,0.00682,0.64,0.47314,0.45008,0.27439,1.93522,1.50926,0.00875,0.00715761,0.00715761,0.00715761
110,265.435,0.81495,0.52956,0.00667,0.69556,0.47035,0.44188,0.28008,2.01558,1.96054,0.00901,0.00711059,0.00711059,0.00711059
111,267.773,0.84665,0.61226,0.00766,0.9299,0.38926,0.44733,0.30271,1.9546,2.13539,0.00862,0.00706335,0.00706335,0.00706335
112,270.075,0.8729,0.6005,0.00781,0.65058,0.47873,0.44914,0.29623,1.98116,1.96492,0.00882,0.00701588,0.00701588,0.00701588
113,272.489,0.83381,0.61154,0.00761,0.5514,0.4018,0.40011,0.25577,2.03221,1.79797,0.00919,0.0069682,0.0069682,0.0069682
114,274.865,0.90699,0.61407,0.00712,0.75054,0.38011,0.41191,0.27046,1.98738,1.46384,0.00896,0.00692031,0.00692031,0.00692031
115,277.269,0.78982,0.53295,0.00631,0.79702,0.33541,0.38355,0.26552,1.92552,1.50376,0.00837,0.00687222,0.00687222,0.00687222
