epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,130.65,0.67461,0.52397,1.01364,0.58648,0.48002,0.47679,0.25497,1.54647,1.00395,1.203,0.00164769,0.00164769,0.00164769
71,132.489,0.5631,0.46076,0.93453,0.52745,0.61698,0.50951,0.27416,1.47599,0.97823,1.17961,0.00164713,0.00164713,0.00164713
72,134.469,0.58607,0.46083,0.95721,0.55794,0.55973,0.45731,0.26435,1.54325,0.97553,1.19568,0.00164656,0.00164656,0.00164656
73,136.283,0.55765,0.44345,0.9417,0.51262,0.56967,0.4636,0.26684,1.51292,1.0135,1.17241,0.00164598,0.00164598,0.00164598
74,138.115,0.58553,0.46875,0.9536,0.56319,0.46541,0.41834,0.2217,1.62631,1.11522,1.24063,0.0016454,0.0016454,0.0016454
75,139.941,0.54331,0.42929,0.92661,0.58057,0.53798,0.45297,0.21551,1.53778,1.20179,1.21322,0.0016448,0.0016448,0.0016448
76,141.778,0.54465,0.42722,0.91043,0.5469,0.5318,0.40143,0.20498,1.51603,1.0612,1.1952,0.0016442,0.0016442,0.0016442
77,143.571,0.57594,0.43136,0.93326,0.61747,0.57585,0.47891,0.24891,1.41232,0.91904,1.12901,0.00164359,0.00164359,0.00164359
78,145.38,0.54089,0.42872,0.94116,0.57228,0.58144,0.44424,0.22789,1.51345,0.97682,1.197,0.00164297,0.00164297,0.00164297
79,147.237,0.57692,0.43387,0.97001,0.67706,0.61184,0.58378,0.28149,1.42125,0.97103,1.14549,0.00164235,0.00164235,0.00164235
80,149.075,0.58449,0.46807,0.93617,0.56534,0.58982,0.5017,0.29024,1.3995,0.99942,1.11771,0.00164172,0.00164172,0.00164172
81,150.952,0.55073,0.41667,0.94876,0.5238,0.5101,0.49274,0.28772,1.31293,1.01454,1.07755,0.00164108,0.00164108,0.00164108
82,152.781,0.5425,0.42197,0.94387,0.672,0.50577,0.56291,0.2997,1.36524,0.98918,1.10237,0.00164043,0.00164043,0.00164043
83,154.604,0.56425,0.46229,0.96972,0.70631,0.46666,0.54465,0.30419,1.42506,0.97678,1.13449,0.00163977,0.00163977,0.00163977
84,156.429,0.51026,0.39694,0.91122,0.55214,0.55479,0.54906,0.2924,1.40303,0.98985,1.16604,0.00163911,0.00163911,0.00163911
85,158.246,0.48556,0.40293,0.93287,0.61796,0.56596,0.58498,0.31717,1.31296,0.90488,1.0994,0.00163843,0.00163843,0.00163843
86,160.114,0.49982,0.40003,0.92921,0.47815,0.57929,0.49559,0.27736,1.38023,0.93982,1.13091,0.00163775,0.00163775,0.00163775
87,161.921,0.46177,0.36843,0.88909,0.48928,0.56711,0.47311,0.23628,1.45474,0.90175,1.16622,0.00163707,0.00163707,0.00163707
88,163.739,0.51025,0.40127,0.91075,0.6076,0.55127,0.49334,0.24387,1.31548,0.79452,1.11845,0.00163637,0.00163637,0.00163637
89,165.546,0.54674,0.42848,0.94542,0.5334,0.63945,0.5171,0.27936,1.32625,0.74671,1.1072,0.00163567,0.00163567,0.00163567
90,167.37,0.56143,0.42185,0.95791,0.2986,0.31715,0.27517,0.17755,1.4434,1.00599,1.18843,0.00163496,0.00163496,0.00163496
91,169.232,0.56336,0.45326,0.97852,0.48822,0.59273,0.48589,0.26169,1.30918,0.87832,1.099,0.00163424,0.00163424,0.00163424
92,171.076,0.54843,0.41107,0.94988,0.47292,0.50095,0.42285,0.24101,1.30947,0.82285,1.09962,0.00163351,0.00163351,0.00163351
93,172.919,0.52433,0.39806,0.92043,0.414,0.47787,0.39643,0.2454,1.29781,0.85925,1.09654,0.00163277,0.00163277,0.00163277
94,174.732,0.49391,0.39432,0.90003,0.49554,0.44994,0.37336,0.22289,1.26805,0.84505,1.10486,0.00163203,0.00163203,0.00163203
95,176.593,0.57607,0.44485,1.00241,0.55879,0.4778,0.43844,0.23595,1.28647,0.90067,1.07832,0.00163128,0.00163128,0.00163128
96,178.423,0.54291,0.42772,0.94881,0.60407,0.63617,0.57215,0.30104,1.21156,0.81856,1.03602,0.00163052,0.00163052,0.00163052
97,180.234,0.49495,0.39093,0.8964,0.57302,0.71457,0.63863,0.34026,1.16815,0.75431,1.01016,0.00162976,0.00162976,0.00162976
98,182.056,0.51102,0.4017,0.92654,0.66439,0.66675,0.66921,0.34355,1.17602,0.76834,1.02295,0.00162898,0.00162898,0.00162898
99,183.929,0.53855,0.41462,0.92694,0.64013,0.60247,0.59785,0.37143,1.14745,0.81071,1.01652,0.0016282,0.0016282,0.0016282
100,185.819,0.50866,0.38863,0.93125,0.54589,0.62054,0.5389,0.34825,1.16731,0.82318,1.04815,0.00162741,0.00162741,0.00162741
101,187.636,0.45243,0.35686,0.89525,0.54,0.62613,0.54112,0.36318,1.15934,0.84627,1.04677,0.00162661,0.00162661,0.00162661
102,189.499,0.4918,0.37591,0.90174,0.51108,0.60378,0.53151,0.33167,1.26884,0.86901,1.07107,0.00162581,0.00162581,0.00162581
103,191.349,0.47304,0.36449,0.90267,0.64414,0.50645,0.5614,0.33202,1.32265,0.9618,1.09728,0.001625,0.001625,0.001625
104,193.188,0.51532,0.40271,0.94086,0.80705,0.48431,0.55861,0.32118,1.40669,1.04575,1.12512,0.00162418,0.00162418,0.00162418
105,195.018,0.50164,0.37361,0.91004,0.73354,0.5116,0.53218,0.28472,1.45145,1.16113,1.15396,0.00162335,0.00162335,0.00162335
106,196.873,0.51914,0.4248,0.92668,0.5199,0.38297,0.34516,0.19748,1.78364,1.59327,1.35103,0.00162251,0.00162251,0.00162251
107,198.689,0.5292,0.40226,0.91788,0.44584,0.26834,0.27934,0.15891,2.02555,1.96521,1.49112,0.00162167,0.00162167,0.00162167
108,200.51,0.57708,0.44793,0.97673,0.44642,0.37043,0.31005,0.15789,2.03371,1.91249,1.47966,0.00162082,0.00162082,0.00162082
109,202.326,0.49981,0.39586,0.90197,0.5006,0.39278,0.31981,0.15902,1.94725,1.83767,1.44555,0.00161996,0.00161996,0.00161996
110,204.236,0.52769,0.41974,0.93412,0.60018,0.48231,0.42919,0.24551,1.74534,1.28213,1.32659,0.00161909,0.00161909,0.00161909
111,206.055,0.55965,0.44278,0.92907,0.64161,0.45423,0.45361,0.22996,1.66594,1.28044,1.29726,0.00161822,0.00161822,0.00161822
112,207.854,0.52104,0.4051,0.92358,0.55646,0.37731,0.35184,0.18241,1.79156,1.49597,1.37028,0.00161733,0.00161733,0.00161733
113,209.679,0.49116,0.37705,0.88833,0.63902,0.32766,0.31345,0.16736,1.81404,1.53605,1.39402,0.00161645,0.00161645,0.00161645
114,211.488,0.55937,0.43827,0.96042,0.65137,0.35561,0.40152,0.21335,1.59577,1.29302,1.27588,0.00161555,0.00161555,0.00161555
